TeamGF,Outcome
Adelaide,Wins
Adelaide,Wins
Adelaide,Loses
Brisbane,Wins
Brisbane,Wins
Brisbane,Wins
Brisbane,Loses
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Wins
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Carlton,Loses
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Wins
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Loses
Collingwood,Draws
Collingwood,Draws
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Wins
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Loses
Essendon,Draws
Fitzroy,Wins
Fitzroy,Wins
Fitzroy,Wins
Fitzroy,Wins
Fitzroy,Wins
Fitzroy,Wins
Fitzroy,Wins
Fitzroy,Wins
Fitzroy,Loses
Fitzroy,Loses
Fitzroy,Loses
Fitzroy,Loses
Fitzroy,Loses
Fremantle,Loses
Geelong,Wins
Geelong,Wins
Geelong,Wins
Geelong,Wins
Geelong,Wins
Geelong,Wins
Geelong,Wins
Geelong,Wins
Geelong,Wins
Geelong,Loses
Geelong,Loses
Geelong,Loses
Geelong,Loses
Geelong,Loses
Geelong,Loses
Geelong,Loses
Geelong,Loses
Geelong,Loses
GWS Giants,Loses
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Wins
Hawthorn,Loses
Hawthorn,Loses
Hawthorn,Loses
Hawthorn,Loses
Hawthorn,Loses
Hawthorn,Loses
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Wins
Melbourne,Loses
Melbourne,Loses
Melbourne,Loses
Melbourne,Loses
Melbourne,Loses
Melbourne,Draws
North Melbourne,Wins
North Melbourne,Wins
North Melbourne,Wins
North Melbourne,Wins
North Melbourne,Loses
North Melbourne,Loses
North Melbourne,Loses
North Melbourne,Loses
North Melbourne,Loses
North Melbourne,Draws
Port Adelaide,Wins
Port Adelaide,Loses
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Wins
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
Richmond,Loses
South Melbourne,Wins
South Melbourne,Wins
South Melbourne,Wins
South Melbourne,Loses
South Melbourne,Loses
South Melbourne,Loses
South Melbourne,Loses
South Melbourne,Loses
South Melbourne,Loses
South Melbourne,Loses
South Melbourne,Loses
St Kilda,Wins
St Kilda,Loses
St Kilda,Loses
St Kilda,Loses
St Kilda,Loses
St Kilda,Loses
St Kilda,Loses
St Kilda,Draws
Sydney,Wins
Sydney,Wins
Sydney,Loses
Sydney,Loses
Sydney,Loses
Sydney,Loses
West Coast,Wins
West Coast,Wins
West Coast,Wins
West Coast,Wins
West Coast,Loses
West Coast,Loses
West Coast,Loses
Western Bulldogs,Wins
Western Bulldogs,Wins
Western Bulldogs,Loses
Western Bulldogs,Loses
University,
Gold Coast,
